id,category_id,adjective,description
a-crunchy,ac-sensory_physical,Crunchy,Something that makes a loud satisfying noise when crushed.
a-fragrant,ac-sensory_physical,Fragrant,Having a pleasant sweet or distinct smell.
a-slimy,ac-sensory_physical,Slimy,Moist soft and slippery to the touch.
a-gigantic,ac-sensory_physical,Gigantic,Extremely large in size or scale.
a-prickly,ac-sensory_physical,Prickly,Covered in sharp points or thorns.
a-freezing,ac-sensory_physical,Freezing,Extremely cold; lacking warmth or empathy.
a-luminous,ac-sensory_physical,Luminous,Radiating or reflecting bright steady light.
a-heavy,ac-sensory_physical,Heavy,Weighing a lot; also used for serious topics.
a-silky,ac-sensory_physical,Silky,Smooth and soft like fine fabric.
a-aromatic,ac-sensory_physical,Aromatic,Having a strong usually pleasant spicy scent.
a-arrogant,ac-personality_character,Arrogant,Having an exaggerated sense of one's own importance.
a-mischievous,ac-personality_character,Mischievous,Fond of playing harmless tricks or causing trouble.
a-courageous,ac-personality_character,Courageous,Brave; willing to face danger without fear.
a-clumsy,ac-personality_character,Clumsy,Lacking grace in movement; prone to accidents.
a-witty,ac-personality_character,Witty,Quick and inventive with verbal humor.
a-grumpy,ac-personality_character,Grumpy,Easily annoyed; in a perpetually bad mood.
a-charismatic,ac-personality_character,Charismatic,Possessing a compelling charm that inspires devotion.
a-gullible,ac-personality_character,Gullible,Easily persuaded to believe something; naive.
a-eccentric,ac-personality_character,Eccentric,Unconventional and slightly strange in a charming way.
a-stoic,ac-personality_character,Stoic,Able to endure pain or hardship without showing feelings.
a-expensive,ac-value_quality,Expensive,Costing a lot of money; high-priced and luxury.
a-shabby,ac-value_quality,Shabby,In poor condition through long or hard use.
a-exquisite,ac-value_quality,Exquisite,Extremely beautiful and delicately made.
a-worthless,ac-value_quality,Worthless,Having no real value or use; insignificant.
a-premium,ac-value_quality,Premium,Of superior quality and therefore higher price.
a-counterfeit,ac-value_quality,Counterfeit,Made in exact imitation of something valuable to deceive.
a-indestructible,ac-value_quality,Indestructible,Not able to be destroyed; incredibly tough.
a-flawless,ac-value_quality,Flawless,Without any imperfections or defects; perfect.
a-generic,ac-value_quality,Generic,Lacking distinctive qualities; basic or plain.
a-elite,ac-value_quality,Elite,Representing the best or most superior of a group.
a-melancholy,ac-emotional_mood,Melancholy,A feeling of pensive sadness with no obvious cause.
a-terrifying,ac-emotional_mood,Terrifying,Causing extreme fear; frightening.
a-delirious,ac-emotional_mood,Delirious,In an acutely disturbed state of mind; wild excitement.
a-nostalgic,ac-emotional_mood,Nostalgic,Exhibiting a sentimental longing for the past.
a-cheerful,ac-emotional_mood,Cheerful,Noticeably happy and optimistic.
a-hostile,ac-emotional_mood,Hostile,Unfriendly; antagonistic or opposed.
a-calm,ac-emotional_mood,Calm,Free from agitation excitement or storminess.
a-gloomy,ac-emotional_mood,Gloomy,Dark or poorly lit; feeling depressed or hopeless.
a-exuberant,ac-emotional_mood,Exuberant,Filled with energy and excitement.
a-jealous,ac-emotional_mood,Jealous,Feeling resentment toward someone’s achievements or possessions.
a-legendary,ac-social_cultural,Legendary,Remarkable enough to be the subject of a legend.
a-controversial,ac-social_cultural,Controversial,Giving rise to public disagreement or heated discussion.
a-sophisticated,ac-social_cultural,Sophisticated,Having a great deal of worldly experience and fashion.
a-obsolete,ac-social_cultural,Obsolete,No longer produced or used; out of date.
a-trendy,ac-social_cultural,Trendy,Very fashionable or up to date.
a-traditional,ac-social_cultural,Traditional,Long-established; following customs from the past.
a-infamous,ac-social_cultural,Infamous,Well known for some bad quality or deed.
a-rebellious,ac-social_cultural,Rebellious,Showing a desire to resist authority or convention.
a-global,ac-social_cultural,Global,Relating to the whole world; worldwide.
a-primitive,ac-social_cultural,Primitive,Relating to an early stage in evolutionary development.
a-ridiculous,ac-opinionated_subjective,Ridiculous,Deserving or inviting derision or mockery; absurd.
a-breathtaking,ac-opinionated_subjective,Breathtaking,Astonishing or awe-inspiring in quality.
a-repulsive,ac-opinionated_subjective,Repulsive,Arousing intense distaste or disgust.
a-adorable,ac-opinionated_subjective,Adorable,Inspiring great affection; delightful or charming.
a-overrated,ac-opinionated_subjective,Overrated,Rated or valued too highly.
a-pathetic,ac-opinionated_subjective,Pathetic,Arousing pity especially through vulnerability or sadness.
a-magnificent,ac-opinionated_subjective,Magnificent,Impressively beautiful elaborate or extravagant.
a-annoying,ac-opinionated_subjective,Annoying,Causing irritation or slight anger.
a-tasteless,ac-opinionated_subjective,Tasteless,Lacking aesthetic judgment; also having no flavor.
a-brilliant,ac-opinionated_subjective,Brilliant,Exceptionally clever or talented; also very bright.
a-deadly,ac-power_impact,Deadly,Causing or able to cause death.
a-explosive,ac-power_impact,Explosive,Able or likely to shatter violently or burst.
a-addictive,ac-power_impact,Addictive,Habit-forming; very difficult to stop using.
a-influential,ac-power_impact,Influential,Having a great impact on someone or something.
a-fragile,ac-power_impact,Fragile,Easily broken or damaged; delicate.
a-invisible,ac-power_impact,Invisible,Unable to be seen; unnoticed or ignored.
a-chaotic,ac-power_impact,Chaotic,In a state of complete confusion and disorder.
a-efficient,ac-power_impact,Efficient,Achieving maximum productivity with minimum wasted effort.
a-toxic,ac-power_impact,Toxic,Poisonous; also used for harmful people or environments.
a-infinite,ac-power_impact,Infinite,Limitless or endless in space extent or size.
a-ancient,ac-time_frequency,Ancient,Belonging to the very distant past.
a-futuristic,ac-time_frequency,Futuristic,Having very modern technology or design.
a-eternal,ac-time_frequency,Eternal,Lasting or existing forever; without end.
a-fleeting,ac-time_frequency,Fleeting,Lasting for a very short time.
a-sudden,ac-time_frequency,Sudden,Occurring or done quickly and unexpectedly.
a-perpetual,ac-time_frequency,Perpetual,Never ending or changing; occurring repeatedly.
a-stagnant,ac-time_frequency,Stagnant,Showing no activity or growth; dull and sluggish.
a-spontaneous,ac-time_frequency,Spontaneous,Performed as a result of a sudden impulse.
a-rapid,ac-time_frequency,Rapid,Happening in a short time or at great speed.
a-timeless,ac-time_frequency,Timeless,Not affected by the passage of time.
a-atomic,ac-scientific_technical,Atomic,Relating to atoms; of devastating power.
a-magnetic,ac-scientific_technical,Magnetic,Having the power to attract; also used for charisma.
a-synthetic,ac-scientific_technical,Synthetic,Made by chemical synthesis to imitate a natural product.
a-radioactive,ac-scientific_technical,Radioactive,Emitting radiation; potentially dangerous and glowing.
a-symmetrical,ac-scientific_technical,Symmetrical,Made up of exactly similar parts facing each other.
a-volatile,ac-scientific_technical,Volatile,Liable to change rapidly and unpredictably.
a-inert,ac-scientific_technical,Inert,Lacking the ability or strength to move.
a-opaque,ac-scientific_technical,Opaque,Not able to be seen through; not transparent.
a-hydrated,ac-scientific_technical,Hydrated,Containing adequate water; refreshed.
a-anatomical,ac-scientific_technical,Anatomical,Relating to bodily structure.
a-spicy,ac-random_fun,Spicy,Having a strong hot flavor; also scandalous.
a-caffeinated,ac-random_fun,Caffeinated,High-energy; jittery and alert.
a-cursed,ac-random_fun,Cursed,Under a spell or doomed to have bad luck.
a-magical,ac-random_fun,Magical,Seems supernatural; beautiful or delightful.
a-soggy,ac-random_fun,Soggy,Saturated with liquid; soft and watery.
a-sparkly,ac-random_fun,Sparkly,Shining with bright points of light.
a-dramatic,ac-random_fun,Dramatic,Striking in appearance or effect; exaggerated.
a-anonymous,ac-random_fun,Anonymous,Having no outstanding individual or unusual features.
a-fuzzy,ac-random_fun,Fuzzy,Having a frizzy fluffy or frayed texture.
a-bizarre,ac-random_fun,Bizarre,Very strange or unusual.
