id,category,subcategory,noun,description
n-albert_einstein,People & Characters,Historical Figures,Albert Einstein,Legendary physicist known for the theory of relativity and E=mc2.
n-cleopatra,People & Characters,Historical Figures,Cleopatra,The last active ruler of the Ptolemaic Kingdom of Egypt.
n-napoleon,People & Characters,Historical Figures,Napoleon,French military leader and emperor who conquered much of Europe.
n-amelia_earhart,People & Characters,Historical Figures,Amelia Earhart,Pioneering aviator who mysteriously disappeared while flying across the globe.
n-gandhi,People & Characters,Historical Figures,Gandhi,Leader of Indian independence known for nonviolent civil disobedience.
n-joan_of_arc,People & Characters,Historical Figures,Joan of Arc,French heroine and saint who led armies during the Hundred Years' War.
n-leonardo_da_vinci,People & Characters,Historical Figures,Leonardo da Vinci,Renaissance polymath who painted the Mona Lisa and designed inventions.
n-marie_curie,People & Characters,Historical Figures,Marie Curie,Physicist and chemist who conducted pioneering research on radioactivity.
n-george_washington,People & Characters,Historical Figures,George Washington,First U.S. President and commander of the Continental Army.
n-harriet_tubman,People & Characters,Historical Figures,Harriet Tubman,Abolitionist who led enslaved people to freedom via the Underground Railroad.
n-genghis_khan,People & Characters,Historical Figures,Genghis Khan,"Founder of the Mongol Empire, the largest contiguous empire ever."
n-winston_churchill,People & Characters,Historical Figures,Winston Churchill,British Prime Minister who led the UK during World War II.
n-nefertiti,People & Characters,Historical Figures,Nefertiti,Egyptian queen known for her beauty and powerful political role.
n-abraham_lincoln,People & Characters,Historical Figures,Abraham Lincoln,16th U.S. President who preserved the Union and abolished slavery.
n-rosa_parks,People & Characters,Historical Figures,Rosa Parks,Civil rights activist famous for her pivotal role in the Montgomery bus boycott.
n-aristotle,People & Characters,Historical Figures,Aristotle,"Ancient Greek philosopher and scientist, student of Plato and teacher of Alexander."
n-queen_elizabeth_i,People & Characters,Historical Figures,Queen Elizabeth I,Powerful Tudor monarch who presided over England's Golden Age.
n-martin_luther_king_jr.,People & Characters,Historical Figures,Martin Luther King Jr.,Civil rights leader famous for his 'I Have a Dream' speech.
n-marco_polo,People & Characters,Historical Figures,Marco Polo,Venetian merchant traveler who documented his travels to Central Asia.
n-catherine_the_great,People & Characters,Historical Figures,Catherine the Great,Empress of Russia who expanded the empire and modernized its culture.
n-sherlock_holmes,People & Characters,Fictional Icons,Sherlock Holmes,Brilliantly logical detective famous for solving crimes in London.
n-harry_potter,People & Characters,Fictional Icons,Harry Potter,The Boy Who Lived and hero of Hogwarts wizarding school.
n-wonder_woman,People & Characters,Fictional Icons,Wonder Woman,Amazonian princess and superhero fighting for justice and peace.
n-darth_vader,People & Characters,Fictional Icons,Darth Vader,Iconic Star Wars villain and fallen Jedi Knight.
n-alice_in_wonderland,People & Characters,Fictional Icons,Alice in Wonderland,Curious girl who falls down a rabbit hole into a dreamworld.
n-batman,People & Characters,Fictional Icons,Batman,Caped Crusader of Gotham City who fights crime with gadgets.
n-mickey_mouse,People & Characters,Fictional Icons,Mickey Mouse,"The cheerful, long-running face of the Disney empire."
n-katniss_everdeen,People & Characters,Fictional Icons,Katniss Everdeen,Skilled archer and symbol of rebellion in The Hunger Games.
n-dracula,People & Characters,Fictional Icons,Dracula,Legendary vampire count from Transylvania who fears garlic and sunlight.
n-hermione_granger,People & Characters,Fictional Icons,Hermione Granger,Highly intelligent and loyal witch from the Harry Potter series.
n-frodo_baggins,People & Characters,Fictional Icons,Frodo Baggins,Brave hobbit who carried the One Ring to Mount Doom.
n-mary_poppins,People & Characters,Fictional Icons,Mary Poppins,Magical nanny who is practically perfect in every way.
n-james_bond,People & Characters,Fictional Icons,James Bond,Suave British secret agent also known by his code number 007.
n-elsa,People & Characters,Fictional Icons,Elsa,Queen of Arendelle with powerful magical ice and snow abilities.
n-spider-man,People & Characters,Fictional Icons,Spider-Man,Web-slinging hero who fights crime after being bitten by a spider.
n-robin_hood,People & Characters,Fictional Icons,Robin Hood,Heroic outlaw who steals from the rich to give to the poor.
n-winnie_the_pooh,People & Characters,Fictional Icons,Winnie the Pooh,Gentle bear from the Hundred Acre Wood who loves honey.
n-cinderella,People & Characters,Fictional Icons,Cinderella,Kind-hearted girl who goes from rags to riches with magic.
n-captain_kirk,People & Characters,Fictional Icons,Captain Kirk,Bold commander of the starship USS Enterprise in Star Trek.
n-pikachu,People & Characters,Fictional Icons,Pikachu,"The yellow, electric-powered mascot of the Pokémon franchise."
n-taylor_swift,People & Characters,Modern Celebrities,Taylor Swift,Global pop superstar known for her songwriting and Eras Tour.
n-tom_hanks,People & Characters,Modern Celebrities,Tom Hanks,Beloved American actor famous for roles in Forrest Gump and Toy Story.
n-beyoncé,People & Characters,Modern Celebrities,Beyoncé,Multi-platinum singer and performer often referred to as Queen Bey.
n-dwayne_the_rock_johnson,People & Characters,Modern Celebrities,"Dwayne ""The Rock"" Johnson",Former pro wrestler turned massive Hollywood action movie star.
n-zendaya,People & Characters,Modern Celebrities,Zendaya,Acclaimed actress and fashion icon known for Euphoria and Dune.
n-keanu_reeves,People & Characters,Modern Celebrities,Keanu Reeves,Actor known for the Matrix and John Wick series and his kindness.
n-oprah_winfrey,People & Characters,Modern Celebrities,Oprah Winfrey,"Media mogul, talk show host, and influential philanthropist."
n-lionel_messi,People & Characters,Modern Celebrities,Lionel Messi,Argentine soccer legend widely considered one of the greatest ever.
n-serena_williams,People & Characters,Modern Celebrities,Serena Williams,Dominant tennis champion with twenty-three Grand Slam singles titles.
n-ryan_reynolds,People & Characters,Modern Celebrities,Ryan Reynolds,Actor famous for his wit and playing the superhero Deadpool.
n-rihanna,People & Characters,Modern Celebrities,Rihanna,Barbadian singer and entrepreneur behind the Fenty Beauty brand.
n-lady_gaga,People & Characters,Modern Celebrities,Lady Gaga,Versatile pop singer and actress known for her theatrical style.
n-elon_musk,People & Characters,Modern Celebrities,Elon Musk,"Tech billionaire behind companies like Tesla, SpaceX, and X."
n-gordon_ramsay,People & Characters,Modern Celebrities,Gordon Ramsay,Hot-tempered British celebrity chef and television personality.
n-adele,People & Characters,Modern Celebrities,Adele,Soulful British singer known for her powerful voice and ballads.
n-stephen_curry,People & Characters,Modern Celebrities,Stephen Curry,Basketball star credited with revolutionizing the game with three-pointers.
n-dolly_parton,People & Characters,Modern Celebrities,Dolly Parton,"Country music legend, songwriter, and beloved cultural icon."
n-bill_gates,People & Characters,Modern Celebrities,Bill Gates,Microsoft co-founder turned global philanthropist and public health advocate.
n-meryl_streep,People & Characters,Modern Celebrities,Meryl Streep,Highly decorated actress known for her incredible range and accents.
n-jackie_chan,People & Characters,Modern Celebrities,Jackie Chan,Martial arts master and actor famous for doing his own stunts.
n-astronaut,People & Characters,Occupations,Astronaut,A person trained to travel and work in outer space.
n-librarian,People & Characters,Occupations,Librarian,A professional who manages collections of books and information.
n-firefighter,People & Characters,Occupations,Firefighter,A rescuer extensively trained to extinguish hazardous fires.
n-surgeon,People & Characters,Occupations,Surgeon,A medical doctor who performs operations on patients.
n-detective,People & Characters,Occupations,Detective,An investigator who gathers clues to solve crimes.
n-blacksmith,People & Characters,Occupations,Blacksmith,A person who creates objects from wrought iron or steel.
n-pilot,People & Characters,Occupations,Pilot,A person who operates the flying controls of an aircraft.
n-chef,People & Characters,Occupations,Chef,A professional cook who oversees a kitchen and menus.
n-archeologist,People & Characters,Occupations,Archeologist,A scientist who studies history through excavating sites.
n-judge,People & Characters,Occupations,Judge,A public officer appointed to decide cases in court.
n-ballerina,People & Characters,Occupations,Ballerina,A female dancer who performs in technical ballet art.
n-journalist,People & Characters,Occupations,Journalist,A person who writes for newspapers or news websites.
n-architect,People & Characters,Occupations,Architect,A person who designs buildings and supervises construction.
n-park_ranger,People & Characters,Occupations,Park Ranger,A person entrusted with protecting and preserving parklands.
n-plumber,People & Characters,Occupations,Plumber,A person who installs and repairs water system pipes.
n-sculptor,People & Characters,Occupations,Sculptor,An artist who creates 3D forms from stone or metal.
n-midwife,People & Characters,Occupations,Midwife,A professional who assists women in childbirth and care.
n-software_engineer,People & Characters,Occupations,Software Engineer,A person who develops computer software using engineering.
n-farmer,People & Characters,Occupations,Farmer,A person who manages a farm and grows crops.
n-stunt_double,People & Characters,Occupations,Stunt Double,A person who replaces an actor for dangerous scenes.
n-bigfoot,People & Characters,Mythical Beings,Bigfoot,"A large, hairy creature said to inhabit North American forests."
n-medusa,People & Characters,Mythical Beings,Medusa,A gorgon with snakes for hair who turns people to stone.
n-phoenix,People & Characters,Mythical Beings,Phoenix,A mythical bird that cyclically regenerates from its own ashes.
n-leprechaun,People & Characters,Mythical Beings,Leprechaun,A type of Irish fairy who hides pots of gold.
n-zeus,People & Characters,Mythical Beings,Zeus,The king of gods and the god of thunder.
n-mermaid,People & Characters,Mythical Beings,Mermaid,A sea creature with a human torso and fish tail.
n-centaur,People & Characters,Mythical Beings,Centaur,A creature with a human upper body and horse lower body.
n-dragon,People & Characters,Mythical Beings,Dragon,"A large, serpent-like legendary creature that often breathes fire."
n-pegasus,People & Characters,Mythical Beings,Pegasus,"A mythical winged horse, usually depicted as pure white."
n-cupid,People & Characters,Mythical Beings,Cupid,"The Roman god of desire, love, and attraction."
n-banshee,People & Characters,Mythical Beings,Banshee,A female spirit whose wailing warns of a death.
n-minotaur,People & Characters,Mythical Beings,Minotaur,A creature with a bull's head and a man's body.
n-sphinx,People & Characters,Mythical Beings,Sphinx,A mythical creature with a human head and lion body.
n-thor,People & Characters,Mythical Beings,Thor,The hammer-wielding Norse god of lightning and strength.
n-anubis,People & Characters,Mythical Beings,Anubis,The ancient Egyptian god of the dead and mummification.
n-kraken,People & Characters,Mythical Beings,Kraken,A legendary sea monster of giant size and appearance.
n-valkyrie,People & Characters,Mythical Beings,Valkyrie,A female figure who chooses who dies in battle.
n-cyclops,People & Characters,Mythical Beings,Cyclops,A member of a race of giants with one eye.
n-gnome,People & Characters,Mythical Beings,Gnome,A diminutive spirit often guarding mines or gardens.
n-unicorn,People & Characters,Mythical Beings,Unicorn,A legendary creature described as a horse with one horn.
n-popcorn,Food & Drink,Classic Snacks,Popcorn,Kernels of corn that puff up when heated with steam.
n-potato_chips,Food & Drink,Classic Snacks,Potato Chips,Thinly sliced potatoes that are deep fried until crunchy.
n-pretzels,Food & Drink,Classic Snacks,Pretzels,Baked dough twisted into a knot and sprinkled with salt.
n-beef_jerky,Food & Drink,Classic Snacks,Beef Jerky,"Lean meat that has been trimmed, salted, and dried."
n-gummy_bears,Food & Drink,Classic Snacks,Gummy Bears,"Small, fruit-flavored gelatin candies shaped like stylized bears."
n-cheese_crackers,Food & Drink,Classic Snacks,Cheese Crackers,"Crunchy, baked snacks flavored with real or artificial cheese."
n-granola_bars,Food & Drink,Classic Snacks,Granola Bars,"Pressed bars made of oats, honey, and dried fruit."
n-trail_mix,Food & Drink,Classic Snacks,Trail Mix,"A blend of nuts, seeds, and chocolate for hiking."
n-sunflower_seeds,Food & Drink,Classic Snacks,Sunflower Seeds,Small seeds harvested from the center of a large flower.
n-fruit_leather,Food & Drink,Classic Snacks,Fruit Leather,"Flattened, dried fruit puree with a chewy, gummy texture."
n-nachos,Food & Drink,Classic Snacks,Nachos,Tortilla chips covered in melted cheese and various toppings.
n-pringles,Food & Drink,Classic Snacks,Pringles,Uniformly shaped potato crisps sold in a tall canister.
n-oreos,Food & Drink,Classic Snacks,Oreos,Chocolate sandwich cookies with a sweet cream filling inside.
n-pickles,Food & Drink,Classic Snacks,Pickles,Cucumbers that have been preserved in vinegar or brine.
n-rice_cakes,Food & Drink,Classic Snacks,Rice Cakes,"Puffed rice pressed together into a circular, crunchy disk."
n-string_cheese,Food & Drink,Classic Snacks,String Cheese,"Mozzarella cheese pulled into long, snackable fibers or strings."
n-wasabi_peas,Food & Drink,Classic Snacks,Wasabi Peas,"Dried peas coated in a spicy, pungent green horseradish."
n-corn_nuts,Food & Drink,Classic Snacks,Corn Nuts,Toasted or deep-fried kernels of large-sized Peruvian corn.
n-pop-tarts,Food & Drink,Classic Snacks,Pop-Tarts,Toaster pastries with a sweet filling and frosted top.
n-goldfish_crackers,Food & Drink,Classic Snacks,Goldfish Crackers,"Small, fish-shaped cheese crackers that ""smile back"" at you."
n-pepperoni_pizza,Food & Drink,Main Courses,Pepperoni Pizza,"Flatbread topped with tomato sauce, cheese, and spicy sausage."
n-spaghetti_bolognese,Food & Drink,Main Courses,Spaghetti Bolognese,"Long pasta noodles served with a thick, meaty tomato sauce."
n-sushi,Food & Drink,Main Courses,Sushi,Japanese dish featuring vinegared rice and raw fish or vegetables.
n-tacos,Food & Drink,Main Courses,Tacos,Tortillas folded around fillings like seasoned meat and salsa.
n-roast_turkey,Food & Drink,Main Courses,Roast Turkey,Large poultry bird typically served at festive holiday dinners.
n-cheeseburger,Food & Drink,Main Courses,Cheeseburger,A beef patty topped with melted cheese on a bun.
n-pad_thai,Food & Drink,Main Courses,Pad Thai,"Stir-fried rice noodles with shrimp, peanuts, and lime."
n-lasagna,Food & Drink,Main Courses,Lasagna,"Layers of wide pasta, ricotta cheese, and savory meat sauce."
n-fish_and_chips,Food & Drink,Main Courses,Fish and Chips,"Battered, fried fish served with thick-cut fried potatoes."
n-chicken_tikka_masala,Food & Drink,Main Courses,Chicken Tikka Masala,"Roasted chicken chunks in a spicy, creamy orange sauce."
n-beef_stroganoff,Food & Drink,Main Courses,Beef Stroganoff,Sautéed beef pieces served in a sauce with sour cream.
n-lobster_thermidor,Food & Drink,Main Courses,Lobster Thermidor,"Cooked lobster meat in a creamy wine sauce, stuffed back."
n-dim_sum,Food & Drink,Main Courses,Dim Sum,Small Chinese dishes served in steaming bamboo baskets.
n-ramen,Food & Drink,Main Courses,Ramen,"Japanese noodle soup served in a rich, flavorful broth."
n-enchiladas,Food & Drink,Main Courses,Enchiladas,Corn tortillas rolled around filling and covered in chili sauce.
n-steak_frites,Food & Drink,Main Courses,Steak Frites,A classic dish of grilled steak served with French fries.
n-falafel_wrap,Food & Drink,Main Courses,Falafel Wrap,Deep-fried chickpea balls wrapped in pita with vegetables.
n-paella,Food & Drink,Main Courses,Paella,"Spanish rice dish with saffron, vegetables, and various seafood."
n-peking_duck,Food & Drink,Main Courses,Peking Duck,"Famous Chinese dish featuring thin, crispy roasted duck skin."
n-chili_con_carne,Food & Drink,Main Courses,Chili Con Carne,"Spicy stew containing chili peppers, meat, and often beans."
n-cheesecake,Food & Drink,Sweets & Desserts,Cheesecake,"Rich dessert with a thick layer of soft, sweetened cheese."
n-apple_pie,Food & Drink,Sweets & Desserts,Apple Pie,Classic fruit pie with a flaky crust and cinnamon.
n-crème_brûlée,Food & Drink,Sweets & Desserts,Crème Brûlée,Rich custard topped with a layer of hardened caramelized sugar.
n-chocolate_truffles,Food & Drink,Sweets & Desserts,Chocolate Truffles,Confections made with a chocolate ganache center and coating.
n-cotton_candy,Food & Drink,Sweets & Desserts,Cotton Candy,Spun sugar that looks like fluffy clouds on a stick.
n-baklava,Food & Drink,Sweets & Desserts,Baklava,"Layered pastry dessert made of filo, nuts, and honey."
n-tiramisu,Food & Drink,Sweets & Desserts,Tiramisu,Coffee-flavored Italian dessert with ladyfingers and mascarpone cheese.
n-churros,Food & Drink,Sweets & Desserts,Churros,Fried dough pastries dusted in sugar and often cinnamon.
n-macarons,Food & Drink,Sweets & Desserts,Macarons,Delicate French almond meringue cookies with a creamy filling.
n-banana_split,Food & Drink,Sweets & Desserts,Banana Split,Ice cream dessert served with a sliced banana and toppings.
n-red_velvet_cake,Food & Drink,Sweets & Desserts,Red Velvet Cake,Crimson-colored chocolate cake with a tangy cream cheese frosting.
n-gelato,Food & Drink,Sweets & Desserts,Gelato,Italian-style frozen dessert that is denser than ice cream.
n-brownies,Food & Drink,Sweets & Desserts,Brownies,"Square, baked chocolate treats with a fudgy or cakey texture."
n-marshmallows,Food & Drink,Sweets & Desserts,Marshmallows,"Soft, spongy sugar-based confections often roasted over a fire."
n-meringue,Food & Drink,Sweets & Desserts,Meringue,"Light, airy dessert made from whipped egg whites and sugar."
n-cannoli,Food & Drink,Sweets & Desserts,Cannoli,Tube-shaped Italian pastry shells filled with sweet ricotta cream.
n-sorbet,Food & Drink,Sweets & Desserts,Sorbet,Frozen dessert made from sweetened water and fruit puree.
n-fudge,Food & Drink,Sweets & Desserts,Fudge,A type of sugar candy made by mixing butter and milk.
n-eclairs,Food & Drink,Sweets & Desserts,Eclairs,Oblong choux pastry filled with cream and topped with chocolate.
n-donut,Food & Drink,Sweets & Desserts,Donut,Fried dough confection usually shaped like a ring or ball.
n-espresso,Food & Drink,Beverages,Espresso,"Highly concentrated coffee served in small, potent shots."
n-lemonade,Food & Drink,Beverages,Lemonade,"Refreshing drink made from lemon juice, sugar, and water."
n-root_beer,Food & Drink,Beverages,Root Beer,Sweet North American beverage flavored with sassafras root bark.
n-green_tea,Food & Drink,Beverages,Green Tea,"Tea made from unoxidized leaves, known for health benefits."
n-milkshake,Food & Drink,Beverages,Milkshake,"Cold, thick beverage made from blended milk and ice cream."
n-champagne,Food & Drink,Beverages,Champagne,"Sparkling wine from France, often used for celebratory toasts."
n-coconut_water,Food & Drink,Beverages,Coconut Water,"Clear liquid found inside young, green, tropical coconuts."
n-hot_cocoa,Food & Drink,Beverages,Hot Cocoa,"Warm, sweet drink made from cocoa powder and milk."
n-kombucha,Food & Drink,Beverages,Kombucha,"Fermented, lightly effervescent sweetened black or green tea drink."
n-tomato_juice,Food & Drink,Beverages,Tomato Juice,"Savory juice made from pressed tomatoes, used in cocktails."
n-ginger_ale,Food & Drink,Beverages,Ginger Ale,Carbonated soft drink flavored with the pungent ginger root.
n-iced_coffee,Food & Drink,Beverages,Iced Coffee,Chilled coffee beverage served over ice with milk or syrup.
n-smoothie,Food & Drink,Beverages,Smoothie,Thick drink made from blended raw fruit and vegetables.
n-chai_latte,Food & Drink,Beverages,Chai Latte,Spiced black tea mixed with steamed milk and foam.
n-sparkling_water,Food & Drink,Beverages,Sparkling Water,"Water containing dissolved carbon dioxide gas, making it bubbly."
n-apple_cider,Food & Drink,Beverages,Apple Cider,"Unfiltered, unsweetened beverage made from the pressing of apples."
n-eggnog,Food & Drink,Beverages,Eggnog,"Rich, chilled dairy drink made with milk, cream, and eggs."
n-peppermint_tea,Food & Drink,Beverages,Peppermint Tea,Caffeine-free herbal infusion made from peppermint plant leaves.
n-shirley_temple,Food & Drink,Beverages,Shirley Temple,Famous non-alcoholic cocktail made with ginger ale and grenadine.
n-slushie,Food & Drink,Beverages,Slushie,"Frozen, flavored icy drink typically served in a cup."
n-avocado,Food & Drink,Fruits & Vegetables,Avocado,Creamy green fruit often used in salads or as guacamole.
n-dragon_fruit,Food & Drink,Fruits & Vegetables,Dragon Fruit,Tropical fruit with vibrant pink skin and speckled white flesh.
n-asparagus,Food & Drink,Fruits & Vegetables,Asparagus,"Long, green, spear-like vegetable often grilled or steamed."
n-pomegranate,Food & Drink,Fruits & Vegetables,Pomegranate,"Fruit containing hundreds of juicy, red, edible seeds called arils."
n-broccoli,Food & Drink,Fruits & Vegetables,Broccoli,Edible green plant with a large flowering head and stalk.
n-mango,Food & Drink,Fruits & Vegetables,Mango,"Sweet, tropical stone fruit with juicy orange-yellow flesh."
n-brussels_sprouts,Food & Drink,Fruits & Vegetables,Brussels Sprouts,"Small, leafy green buds that look like miniature cabbages."
n-kiwi,Food & Drink,Fruits & Vegetables,Kiwi,Small fruit with fuzzy brown skin and bright green interior.
n-eggplant,Food & Drink,Fruits & Vegetables,Eggplant,"Large, purple-skinned vegetable commonly used in Mediterranean cooking."
n-artichoke,Food & Drink,Fruits & Vegetables,Artichoke,Thistle-like plant where the heart and leaves are eaten.
n-blueberries,Food & Drink,Fruits & Vegetables,Blueberries,"Small, round, indigo-colored berries that are sweet and tart."
n-kale,Food & Drink,Fruits & Vegetables,Kale,Leafy green vegetable known for its high nutritional value.
n-pineapple,Food & Drink,Fruits & Vegetables,Pineapple,"Large tropical fruit with a tough, spiky outer shell."
n-jalapeño,Food & Drink,Fruits & Vegetables,Jalapeño,Medium-sized chili pepper known for its moderate spicy heat.
n-watermelon,Food & Drink,Fruits & Vegetables,Watermelon,"Large, refreshing summer fruit with red flesh and seeds."
n-garlic,Food & Drink,Fruits & Vegetables,Garlic,Pungent bulb used globally as a seasoning in cooking.
n-pumpkin,Food & Drink,Fruits & Vegetables,Pumpkin,"Large, orange squash commonly carved during Halloween festivities."
n-starfruit,Food & Drink,Fruits & Vegetables,Starfruit,Tropical fruit that looks like a five-pointed star when sliced.
n-spinach,Food & Drink,Fruits & Vegetables,Spinach,Leafy green plant often eaten raw in salads or cooked.
n-fig,Food & Drink,Fruits & Vegetables,Fig,"Sweet, teardrop-shaped fruit with a soft, chewy texture."
n-the_great_wall_of_china,Places & Nature,World Landmarks,The Great Wall of China,Massive ancient stone fortification stretching across Northern China.
n-eiffel_tower,Places & Nature,World Landmarks,Eiffel Tower,Iconic iron lattice tower located on the Champ de Mars.
n-machu_picchu,Places & Nature,World Landmarks,Machu Picchu,15th-century Inca citadel located in the Andes Mountains.
n-grand_canyon,Places & Nature,World Landmarks,Grand Canyon,Steep-sided canyon carved by the Colorado River in Arizona.
n-statue_of_liberty,Places & Nature,World Landmarks,Statue of Liberty,Colossal copper statue on Liberty Island in New York Harbor.
n-colosseum,Places & Nature,World Landmarks,Colosseum,"Oval amphitheatre in Rome, the largest ever built."
n-taj_mahal,Places & Nature,World Landmarks,Taj Mahal,Ivory-white marble mausoleum on the bank of the Yamuna.
n-stonehenge,Places & Nature,World Landmarks,Stonehenge,Prehistoric monument in England consisting of a ring of standing stones.
n-mount_everest,Places & Nature,World Landmarks,Mount Everest,"Earth's highest mountain above sea level, located in the Himalayas."
n-great_pyramid_of_giza,Places & Nature,World Landmarks,Great Pyramid of Giza,"Oldest and largest of the three pyramids in Giza, Egypt."
n-sydney_opera_house,Places & Nature,World Landmarks,Sydney Opera House,"Multi-venue performing arts centre in Sydney, Australia."
n-niagara_falls,Places & Nature,World Landmarks,Niagara Falls,Group of three massive waterfalls at the US-Canada border.
n-mount_fuji,Places & Nature,World Landmarks,Mount Fuji,Active stratovolcano and highest mountain peak in Japan.
n-the_louvre,Places & Nature,World Landmarks,The Louvre,World's largest art museum and a historic monument in Paris.
n-victoria_falls,Places & Nature,World Landmarks,Victoria Falls,Massive waterfall on the Zambezi River in southern Africa.
n-golden_gate_bridge,Places & Nature,World Landmarks,Golden Gate Bridge,Famous orange suspension bridge spanning the San Francisco Bay.
n-petra,Places & Nature,World Landmarks,Petra,"Historic and archaeological city in southern Jordan, carved into rock."
n-the_parthenon,Places & Nature,World Landmarks,The Parthenon,Former temple on the Athenian Acropolis dedicated to Athena.
n-big_ben,Places & Nature,World Landmarks,Big Ben,Nickname for the Great Bell of the clock in London.
n-amazon_rainforest,Places & Nature,World Landmarks,Amazon Rainforest,Moist broadleaf tropical rainforest covering much of South America.
n-sahara_desert,Places & Nature,Geography & Habitats,Sahara Desert,"The largest hot desert in the world, covering North Africa."
n-coral_reef,Places & Nature,Geography & Habitats,Coral Reef,Underwater ecosystem characterized by reef-building corals.
n-salt_flats,Places & Nature,Geography & Habitats,Salt Flats,Flat expanse of ground covered with salt and other minerals.
n-glacier,Places & Nature,Geography & Habitats,Glacier,Persistent body of dense ice that is constantly moving.
n-volcano,Places & Nature,Geography & Habitats,Volcano,Rupture in the crust of a planetary-mass object.
n-swamp,Places & Nature,Geography & Habitats,Swamp,Forested wetland often found near large lakes or rivers.
n-redwood_forest,Places & Nature,Geography & Habitats,Redwood Forest,Dense woodland featuring some of the world's tallest trees.
n-cave,Places & Nature,Geography & Habitats,Cave,Natural underground space large enough for a human to enter.
n-island,Places & Nature,Geography & Habitats,Island,Any piece of sub-continental land that is surrounded by water.
n-tundra,Places & Nature,Geography & Habitats,Tundra,"Vast, flat, treeless Arctic region where the subsoil is frozen."
n-valley,Places & Nature,Geography & Habitats,Valley,"Low area between hills or mountains, often with a river."
n-savanna,Places & Nature,Geography & Habitats,Savanna,Grassy plain in tropical and subtropical regions with few trees.
n-fjord,Places & Nature,Geography & Habitats,Fjord,"Long, narrow, deep inlet of the sea between high cliffs."
n-canyon,Places & Nature,Geography & Habitats,Canyon,"Deep gorge, typically one with a river flowing through it."
n-peninsula,Places & Nature,Geography & Habitats,Peninsula,Piece of land almost surrounded by water or projecting out.
n-meadow,Places & Nature,Geography & Habitats,Meadow,Field of habitat with vegetation mainly consisting of grasses.
n-oasis,Places & Nature,Geography & Habitats,Oasis,Fertile spot in a desert where water is found.
n-archipelago,Places & Nature,Geography & Habitats,Archipelago,Large group or chain of many islands in a sea.
n-waterfall,Places & Nature,Geography & Habitats,Waterfall,Point in a river where water flows over a precipice.
n-delta,Places & Nature,Geography & Habitats,Delta,Landform created by deposition of sediment at a river mouth.
n-attic,Places & Nature,Rooms & Buildings,Attic,Space or room just below the roof of a house.
n-library,Places & Nature,Rooms & Buildings,Library,Building or room containing collections of books and periodicals.
n-treehouse,Places & Nature,Rooms & Buildings,Treehouse,Structure built among the branches of a mature tree.
n-castle,Places & Nature,Rooms & Buildings,Castle,"Large building, typically of the medieval period, fortified against attack."
n-greenhouse,Places & Nature,Rooms & Buildings,Greenhouse,Glass building in which plants are grown that need protection.
