id,category,subcategory,noun,description
n-dungeon,Places & Nature,Rooms & Buildings,Dungeon,"Strong underground prison cell, especially in a medieval castle."
n-skyscraper,Places & Nature,Rooms & Buildings,Skyscraper,Very tall continuously habitable building having many floors.
n-lighthouse,Places & Nature,Rooms & Buildings,Lighthouse,Tower with a bright light to guide ships at sea.
n-cathedral,Places & Nature,Rooms & Buildings,Cathedral,"Principal church of a diocese, with which the bishop is associated."
n-observatory,Places & Nature,Rooms & Buildings,Observatory,Room or building with a telescope for observing the stars.
n-barn,Places & Nature,Rooms & Buildings,Barn,Large farm building used for storing grain or housing livestock.
n-bungalow,Places & Nature,Rooms & Buildings,Bungalow,"Low house, with a broad front porch, having no upper floor."
n-cinema,Places & Nature,Rooms & Buildings,Cinema,Theater where movies are shown for public entertainment.
n-museum,Places & Nature,Rooms & Buildings,Museum,Building in which objects of interest are stored and exhibited.
n-penthouse,Places & Nature,Rooms & Buildings,Penthouse,Expensive apartment on the top floor of a tall building.
n-laboratory,Places & Nature,Rooms & Buildings,Laboratory,Room or building equipped for scientific experiments or research.
n-windmill,Places & Nature,Rooms & Buildings,Windmill,Structure that converts wind power into energy using vanes.
n-cabin,Places & Nature,Rooms & Buildings,Cabin,Small wooden shelter or house in a remote area.
n-stadium,Places & Nature,Rooms & Buildings,Stadium,Large building with tiers of seats for sporting events.
n-basement,Places & Nature,Rooms & Buildings,Basement,The floor of a building which is partly or entirely underground.
n-the_moon,Places & Nature,Astronomy & Space,The Moon,"Earth's only natural satellite, which reflects light from the sun."
n-mars,Places & Nature,Astronomy & Space,Mars,"The fourth planet from the Sun, often called the Red Planet."
n-black_hole,Places & Nature,Astronomy & Space,Black Hole,Region of spacetime where gravity is so strong nothing escapes.
n-milky_way,Places & Nature,Astronomy & Space,Milky Way,The galaxy that contains our own Solar System.
n-supernova,Places & Nature,Astronomy & Space,Supernova,Powerful and luminous stellar explosion of a dying star.
n-space_station,Places & Nature,Astronomy & Space,Space Station,Large spacecraft in orbit where astronauts live and work.
n-saturn’s_rings,Places & Nature,Astronomy & Space,Saturn’s Rings,Enormous system of ice and dust orbiting a gas giant.
n-comet,Places & Nature,Astronomy & Space,Comet,"Icy, small Solar System body that displays a visible tail."
n-asteroid_belt,Places & Nature,Astronomy & Space,Asteroid Belt,Region between Mars and Jupiter with many irregular rocky bodies.
n-hubble_telescope,Places & Nature,Astronomy & Space,Hubble Telescope,Large space telescope that takes high-resolution images of space.
n-solar_flare,Places & Nature,Astronomy & Space,Solar Flare,Sudden flash of increased brightness on the Sun's surface.
n-nebula,Places & Nature,Astronomy & Space,Nebula,Enormous cloud of dust and gas occupying space between stars.
n-pluto,Places & Nature,Astronomy & Space,Pluto,"Dwarf planet in the Kuiper belt, formerly the ninth planet."
n-shooting_star,Places & Nature,Astronomy & Space,Shooting Star,Small piece of rock or dust hitting Earth's atmosphere.
n-lunar_rover,Places & Nature,Astronomy & Space,Lunar Rover,Vehicle designed to move across the surface of the Moon.
n-astronaut_helmet,Places & Nature,Astronomy & Space,Astronaut Helmet,Protective headgear worn by space travelers for breathing and safety.
n-alien_spaceship,Places & Nature,Astronomy & Space,Alien Spaceship,Hypothetical craft used by extraterrestrial beings for space travel.
n-solar_eclipse,Places & Nature,Astronomy & Space,Solar Eclipse,Event where the Moon passes between the Sun and Earth.
n-satellite,Places & Nature,Astronomy & Space,Satellite,Artificial body placed in orbit round the earth or moon.
n-the_big_dipper,Places & Nature,Astronomy & Space,The Big Dipper,Group of seven bright stars in the constellation Ursa Major.
n-hollywood,Places & Nature,U.S. Locations,Hollywood,Neighborhood in Los Angeles famous as the center of film.
n-times_square,Places & Nature,U.S. Locations,Times Square,Major commercial intersection and tourist destination in Midtown Manhattan.
n-las_vegas_strip,Places & Nature,U.S. Locations,Las Vegas Strip,Stretch of South Las Vegas Boulevard famous for its casinos.
n-yellowstone,Places & Nature,U.S. Locations,Yellowstone,National park famous for its geysers and grizzly bears.
n-disney_world,Places & Nature,U.S. Locations,Disney World,Massive entertainment resort and theme park complex in Florida.
n-the_white_house,Places & Nature,U.S. Locations,The White House,Official residence and workplace of the President of the United States.
n-french_quarter,Places & Nature,U.S. Locations,French Quarter,Historic heart of New Orleans known for its nightlife.
n-alcatraz,Places & Nature,U.S. Locations,Alcatraz,Famous former federal prison located on an island in California.
n-key_west,Places & Nature,U.S. Locations,Key West,Island city in Florida known for its coral reefs.
n-mount_rushmore,Places & Nature,U.S. Locations,Mount Rushmore,Massive sculpture carved into South Dakota's Black Hills.
n-waikiki_beach,Places & Nature,U.S. Locations,Waikiki Beach,Famous beach and neighborhood on the south shore of Honolulu.
n-pike_place_market,Places & Nature,U.S. Locations,Pike Place Market,Public market overlooking the Elliott Bay waterfront in Seattle.
n-the_alamo,Places & Nature,U.S. Locations,The Alamo,Historic Spanish mission and fortress compound in San Antonio.
n-route_66,Places & Nature,U.S. Locations,Route 66,Famous historic highway running from Chicago to Santa Monica.
n-central_park,Places & Nature,U.S. Locations,Central Park,Large urban park in the center of New York City.
n-harvard_university,Places & Nature,U.S. Locations,Harvard University,"Ivy League research university in Cambridge, Massachusetts."
n-kennedy_space_center,Places & Nature,U.S. Locations,Kennedy Space Center,NASA's primary launch center for human spaceflight in Florida.
n-aspen,Places & Nature,U.S. Locations,Aspen,Colorado ski resort town known for high-end outdoor recreation.
n-death_valley,Places & Nature,U.S. Locations,Death Valley,"Desert valley in Eastern California, the hottest place on Earth."
n-mall_of_america,Places & Nature,U.S. Locations,Mall of America,"Enormous shopping mall located in Bloomington, Minnesota."
n-toaster,Objects & Technology,Household Items,Toaster,Kitchen appliance used to brown bread with radiant heat.
n-grandfather_clock,Objects & Technology,Household Items,Grandfather Clock,"Tall, pendulum-driven floor clock encased in wood."
n-bean_bag_chair,Objects & Technology,Household Items,Bean Bag Chair,Large fabric bag filled with small polystyrene beads.
n-rotary_phone,Objects & Technology,Household Items,Rotary Phone,Old-fashioned telephone with a finger-wheel for dialing.
n-blender,Objects & Technology,Household Items,Blender,Electric kitchen tool used for liquidizing or mixing food.
n-vacuum_cleaner,Objects & Technology,Household Items,Vacuum Cleaner,Device that uses suction to remove dirt from floors.
n-umbrella,Objects & Technology,Household Items,Umbrella,Folding canopy used for protection against rain or sun.
n-sewing_machine,Objects & Technology,Household Items,Sewing Machine,Mechanical device used to stitch fabric together.
n-lawnmower,Objects & Technology,Household Items,Lawnmower,Machine used for cutting grass on a lawn.
n-flashlight,Objects & Technology,Household Items,Flashlight,Portable hand-held electric light powered by batteries.
n-mirror,Objects & Technology,Household Items,Mirror,Surface that reflects a clear image of what is before it.
n-ironing_board,Objects & Technology,Household Items,Ironing Board,Padded flat surface used for pressing clothes.
n-hammock,Objects & Technology,Household Items,Hammock,Sling made of fabric suspended between two points.
n-bookshelf,Objects & Technology,Household Items,Bookshelf,Piece of furniture with shelves for storing books.
n-teapot,Objects & Technology,Household Items,Teapot,Vessel with a lid and spout used for brewing tea.
n-microscope,Objects & Technology,Household Items,Microscope,Optical instrument used for viewing very small objects.
n-toolbox,Objects & Technology,Household Items,Toolbox,Portable container for organizing various hand tools.
n-candle,Objects & Technology,Household Items,Candle,Block of wax with a wick that provides light.
n-wind_chime,Objects & Technology,Household Items,Wind Chime,Decorative arrangement of tubes that ring in the wind.
n-refrigerator,Objects & Technology,Household Items,Refrigerator,Large cooling appliance used for preserving food.
n-high_heels,Objects & Technology,Clothing & Accessories,High Heels,Footwear that raises the wearer's heel above the toes.
n-fedora,Objects & Technology,Clothing & Accessories,Fedora,Felt hat with a wide brim and indented crown.
n-sunglasses,Objects & Technology,Clothing & Accessories,Sunglasses,Tinted eyewear used to protect eyes from sunlight.
n-tuxedo,Objects & Technology,Clothing & Accessories,Tuxedo,"Formal suit for men, worn at black-tie events."
n-bow_tie,Objects & Technology,Clothing & Accessories,Bow Tie,Type of necktie tied in a symmetrical bow shape.
n-raincoat,Objects & Technology,Clothing & Accessories,Raincoat,Waterproof garment worn to protect the body from rain.
n-flip-flops,Objects & Technology,Clothing & Accessories,Flip-Flops,Simple light sandals with a thong between the toes.
n-kimono,Objects & Technology,Clothing & Accessories,Kimono,Traditional Japanese T-shaped wrapped-front garment.
n-backpack,Objects & Technology,Clothing & Accessories,Backpack,Bag carried on the back with two shoulder straps.
n-wristwatch,Objects & Technology,Clothing & Accessories,Wristwatch,Small timepiece intended to be worn around the wrist.
n-space_suit,Objects & Technology,Clothing & Accessories,Space Suit,Complex garment worn to keep humans alive in space.
n-leather_jacket,Objects & Technology,Clothing & Accessories,Leather Jacket,Durable coat made from the tanned hide of animals.
n-tiara,Objects & Technology,Clothing & Accessories,Tiara,Jeweled ornamental crown traditionally worn by women.
n-mittens,Objects & Technology,Clothing & Accessories,Mittens,Hand coverings with a separate section for thumbs.
n-scarf,Objects & Technology,Clothing & Accessories,Scarf,Length of fabric worn around the neck for warmth.
n-cowboy_boots,Objects & Technology,Clothing & Accessories,Cowboy Boots,Riding boots with a high heel and pointed toe.
n-tutu,Objects & Technology,Clothing & Accessories,Tutu,Skirt made of many layers of tulle worn by ballerinas.
n-cape,Objects & Technology,Clothing & Accessories,Cape,Sleeveless outer garment that hangs from the neck.
n-beret,Objects & Technology,Clothing & Accessories,Beret,"Soft, round, flat-crowned hat usually made of felt."
n-sneakers,Objects & Technology,Clothing & Accessories,Sneakers,Casual shoes designed for sports or everyday exercise.
n-smartphone,Objects & Technology,Modern Gadgets,Smartphone,Mobile phone that performs functions of a computer.
n-vr_headset,Objects & Technology,Modern Gadgets,VR Headset,Device worn over eyes to provide 3D simulations.
n-drone,Objects & Technology,Modern Gadgets,Drone,Remotely piloted aircraft used for photography.
n-smartwatch,Objects & Technology,Modern Gadgets,Smartwatch,Wearable device that offers computing capabilities.
n-tablet,Objects & Technology,Modern Gadgets,Tablet,Portable computer with a touchscreen interface.
n-laptop,Objects & Technology,Modern Gadgets,Laptop,"Small, portable computer suitable for use while traveling."
n-bluetooth_speaker,Objects & Technology,Modern Gadgets,Bluetooth Speaker,Wireless audio device that connects via Bluetooth.
n-digital_camera,Objects & Technology,Modern Gadgets,Digital Camera,Device that encodes images and videos into digital files.
n-robot_vacuum,Objects & Technology,Modern Gadgets,Robot Vacuum,Autonomous device that cleans floors without help.
n-e-reader,Objects & Technology,Modern Gadgets,E-reader,Electronic device designed for reading digital books.
n-game_console,Objects & Technology,Modern Gadgets,Game Console,Computer system designed for playing video games.
n-noise-canceling_headphones,Objects & Technology,Modern Gadgets,Noise-Canceling Headphones,Audio device that reduces unwanted ambient sounds.
n-electric_scooter,Objects & Technology,Modern Gadgets,Electric Scooter,Two-wheeled vehicle powered by an electric motor.
n-3d_printer,Objects & Technology,Modern Gadgets,3D Printer,Machine that creates 3D objects from a digital file.
n-action_camera,Objects & Technology,Modern Gadgets,Action Camera,"Rugged, waterproof camera for filming sports."
n-portable_charger,Objects & Technology,Modern Gadgets,Portable Charger,External battery pack used to charge mobile devices.
n-gps_device,Objects & Technology,Modern Gadgets,GPS Device,Electronic system that provides navigation info.
n-smart_thermostat,Objects & Technology,Modern Gadgets,Smart Thermostat,Wi-Fi enabled device that controls home heating.
n-wireless_mouse,Objects & Technology,Modern Gadgets,Wireless Mouse,Computer pointing device that connects without a cable.
n-microphone,Objects & Technology,Modern Gadgets,Microphone,Instrument for converting sound into electrical energy.
n-hot_air_balloon,Objects & Technology,Transportation,Hot Air Balloon,Aircraft consisting of a bag filled with heated air.
n-submarine,Objects & Technology,Transportation,Submarine,Watercraft capable of operating under the ocean.
n-unicycle,Objects & Technology,Transportation,Unicycle,Vehicle that has only one wheel and is pedal-driven.
n-helicopter,Objects & Technology,Transportation,Helicopter,Aircraft with overhead rotors for vertical takeoff.
n-steam_engine,Objects & Technology,Transportation,Steam Engine,Engine that performs work using steam as its fluid.
n-kayak,Objects & Technology,Transportation,Kayak,Narrow watercraft propelled by a double-bladed paddle.
n-motorcycle,Objects & Technology,Transportation,Motorcycle,Two-wheeled motor vehicle with an engine.
n-space_shuttle,Objects & Technology,Transportation,Space Shuttle,Reusable spacecraft used for Earth orbit missions.
n-gondola,Objects & Technology,Transportation,Gondola,Traditional narrow flat-bottomed boat used in Venice.
n-tractor,Objects & Technology,Transportation,Tractor,Powerful motor vehicle used for pulling farm machinery.
n-bulldozer,Objects & Technology,Transportation,Bulldozer,Powerful tractor with a broad blade for moving earth.
n-skateboard,Objects & Technology,Transportation,Skateboard,Short board with wheels used for riding or tricks.
n-yacht,Objects & Technology,Transportation,Yacht,"Large, luxurious boat used for private recreation."
n-hang_glider,Objects & Technology,Transportation,Hang Glider,Non-motorized aircraft where the pilot flies in a harness.
n-segway,Objects & Technology,Transportation,Segway,"Two-wheeled, self-balancing personal transporter."
n-tandem_bicycle,Objects & Technology,Transportation,Tandem Bicycle,Bicycle designed to be ridden by two people at once.
n-cable_car,Objects & Technology,Transportation,Cable Car,Transportation system using cars pulled by a cable.
n-hovercraft,Objects & Technology,Transportation,Hovercraft,Vehicle that travels over land or water on air.
n-tugboat,Objects & Technology,Transportation,Tugboat,Powerful boat used for towing or pushing larger ships.
n-bullet_train,Objects & Technology,Transportation,Bullet Train,High-speed passenger rail with a streamlined shape.
n-rubik’s_cube,Objects & Technology,Toys & Hobbies,Rubik’s Cube,3D combination puzzle with colored faces.
n-lego_bricks,Objects & Technology,Toys & Hobbies,Lego Bricks,Plastic building blocks that can be assembled.
n-hula_hoop,Objects & Technology,Toys & Hobbies,Hula Hoop,Large plastic ring that is twirled around the waist.
n-yo-yo,Objects & Technology,Toys & Hobbies,Yo-Yo,Toy consisting of an axle connected to two disks.
n-jigsaw_puzzle,Objects & Technology,Toys & Hobbies,Jigsaw Puzzle,Tiling puzzle that requires interlocking pieces.
n-model_airplane,Objects & Technology,Toys & Hobbies,Model Airplane,Small-scale representation of a real aircraft.
n-chessboard,Objects & Technology,Toys & Hobbies,Chessboard,Square board with sixty-four alternating squares.
n-playing_cards,Objects & Technology,Toys & Hobbies,Playing Cards,Set of rectangular cards used for various games.
n-teddy_bear,Objects & Technology,Toys & Hobbies,Teddy Bear,Soft toy animal typically shaped like a bear.
n-slime,Objects & Technology,Toys & Hobbies,Slime,"Gooey, non-Newtonian fluid used as a sensory toy."
n-frisbee,Objects & Technology,Toys & Hobbies,Frisbee,Gliding toy or sporting item that is thrown.
n-jump_rope,Objects & Technology,Toys & Hobbies,Jump Rope,Length of rope used for skipping over as a workout.
n-etch_a_sketch,Objects & Technology,Toys & Hobbies,Etch A Sketch,Mechanical drawing toy with two control knobs.
n-slinky,Objects & Technology,Toys & Hobbies,Slinky,"Helical spring toy that can ""walk"" down stairs."
n-action_figure,Objects & Technology,Toys & Hobbies,Action Figure,Posable character figurine based on movies or comics.
n-dollhouse,Objects & Technology,Toys & Hobbies,Dollhouse,Toy home made in miniature for dolls to live in.
n-marbles,Objects & Technology,Toys & Hobbies,Marbles,Small spherical toys made of glass or stone.
n-origami,Objects & Technology,Toys & Hobbies,Origami,Japanese art of folding paper into decorative shapes.
n-binoculars,Objects & Technology,Toys & Hobbies,Binoculars,Optical instrument for magnified views of distant objects.
n-deck_of_cards,Objects & Technology,Toys & Hobbies,Deck of Cards,A standard set of 52 playing cards.
n-african_elephant,Concepts & Extras,Animals (Wild),African Elephant,"The largest living land animal, known for its tusks."
n-great_white_shark,Concepts & Extras,Animals (Wild),Great White Shark,A large predatory fish famous for its powerful jaws.
n-bald_eagle,Concepts & Extras,Animals (Wild),Bald Eagle,A bird of prey that is the national symbol of the USA.
n-platypus,Concepts & Extras,Animals (Wild),Platypus,A unique egg-laying mammal with a duck-like bill.
n-komodo_dragon,Concepts & Extras,Animals (Wild),Komodo Dragon,"The largest living species of lizard, found in Indonesia."
n-penguin,Concepts & Extras,Animals (Wild),Penguin,A flightless sea bird that lives primarily in the Southern Hemisphere.
n-sloth,Concepts & Extras,Animals (Wild),Sloth,A slow-moving tropical mammal that lives in trees.
n-tiger,Concepts & Extras,Animals (Wild),Tiger,A large cat species with dark vertical stripes on orange fur.
n-kangaroo,Concepts & Extras,Animals (Wild),Kangaroo,A large marsupial from Australia that moves by hopping.
n-gorilla,Concepts & Extras,Animals (Wild),Gorilla,"The largest living primate, native to the forests of Africa."
n-blue_whale,Concepts & Extras,Animals (Wild),Blue Whale,The largest animal known to have ever existed.
n-polar_bear,Concepts & Extras,Animals (Wild),Polar Bear,A large white bear that lives in the Arctic Circle.
n-chameleon,Concepts & Extras,Animals (Wild),Chameleon,A lizard known for its ability to change skin color.
n-jellyfish,Concepts & Extras,Animals (Wild),Jellyfish,A gelatinous sea creature with stinging tentacles.
n-giraffe,Concepts & Extras,Animals (Wild),Giraffe,"The tallest living terrestrial animal, known for its long neck."
n-wolf,Concepts & Extras,Animals (Wild),Wolf,A wild carnivorous mammal that is the ancestor of the dog.
n-meerkat,Concepts & Extras,Animals (Wild),Meerkat,A small mongoose that lives in social groups in Africa.
n-octopus,Concepts & Extras,Animals (Wild),Octopus,A sea creature with eight arms and a highly developed brain.
n-zebra,Concepts & Extras,Animals (Wild),Zebra,An African wild horse with distinctive black-and-white stripes.
n-owl,Concepts & Extras,Animals (Wild),Owl,A nocturnal bird of prey with large eyes and silent flight.
n-golden_retriever,Concepts & Extras,Animals (Domestic/Small),Golden Retriever,A popular breed of dog known for its friendly nature.
n-siamese_cat,Concepts & Extras,Animals (Domestic/Small),Siamese Cat,A distinctive breed of cat with blue eyes and point coloration.
n-hamster,Concepts & Extras,Animals (Domestic/Small),Hamster,A small rodent often kept as a household pet.
n-goldfish,Concepts & Extras,Animals (Domestic/Small),Goldfish,A small reddish-golden carp frequently kept in aquariums.
n-hedgehog,Concepts & Extras,Animals (Domestic/Small),Hedgehog,A small mammal covered in sharp spines for protection.
n-parakeet,Concepts & Extras,Animals (Domestic/Small),Parakeet,A small parrot often kept in a cage as a pet.
n-alpaca,Concepts & Extras,Animals (Domestic/Small),Alpaca,A domesticated South American camelid known for its wool.
n-pot-bellied_pig,Concepts & Extras,Animals (Domestic/Small),Pot-bellied Pig,A small breed of pig often kept as an exotic pet.
n-ferret,Concepts & Extras,Animals (Domestic/Small),Ferret,"A small, slender domesticated mammal in the weasel family."
n-hermit_crab,Concepts & Extras,Animals (Domestic/Small),Hermit Crab,A crustacean that lives in scavenged snail shells.
n-guinea_pig,Concepts & Extras,Animals (Domestic/Small),Guinea Pig,A small species of rodent commonly kept as a pet.
n-rabbit,Concepts & Extras,Animals (Domestic/Small),Rabbit,A small burrowing mammal with long ears and a short tail.
n-pony,Concepts & Extras,Animals (Domestic/Small),Pony,"A small type of horse, usually under 14.2 hands high."
n-goat,Concepts & Extras,Animals (Domestic/Small),Goat,A hardy domesticated mammal often raised for milk and wool.
n-chicken,Concepts & Extras,Animals (Domestic/Small),Chicken,A common domestic bird raised for its eggs and meat.
n-honeybee,Concepts & Extras,Animals (Domestic/Small),Honeybee,An insect that lives in hives and produces wax and honey.
n-ladybug,Concepts & Extras,Animals (Domestic/Small),Ladybug,"A small, colorful beetle typically red with black spots."
n-firefly,Concepts & Extras,Animals (Domestic/Small),Firefly,A beetle that produces light from its abdomen at night.
n-butterfly,Concepts & Extras,Animals (Domestic/Small),Butterfly,"An insect with large, often colorful wings and a slender body."
n-snail,Concepts & Extras,Animals (Domestic/Small),Snail,A mollusk with a coiled shell into which it can retract.
n-true_love,Concepts & Extras,Abstract Concepts,True Love,A profound and passionate affection for another person.
n-world_peace,Concepts & Extras,Abstract Concepts,World Peace,An ideal state of freedom and happiness among all nations.
n-chaos,Concepts & Extras,Abstract Concepts,Chaos,A state of utter confusion or disorder.
n-freedom,Concepts & Extras,Abstract Concepts,Freedom,"The power or right to act, speak, or think freely."
n-justice,Concepts & Extras,Abstract Concepts,Justice,The quality of being fair and reasonable.
n-curiosity,Concepts & Extras,Abstract Concepts,Curiosity,A strong desire to know or learn something.
n-luck,Concepts & Extras,Abstract Concepts,Luck,Success or failure apparently brought by chance rather than actions.
n-wisdom,Concepts & Extras,Abstract Concepts,Wisdom,"The quality of having experience, knowledge, and good judgment."
n-silence,Concepts & Extras,Abstract Concepts,Silence,The complete absence of sound.
n-greed,Concepts & Extras,Abstract Concepts,Greed,Intense and selfish desire for wealth or power.
n-courage,Concepts & Extras,Abstract Concepts,Courage,The ability to do something that frightens one.
n-nostalgia,Concepts & Extras,Abstract Concepts,Nostalgia,A sentimental longing for the past.
n-imagination,Concepts & Extras,Abstract Concepts,Imagination,The faculty of forming new ideas or images in the mind.
n-honesty,Concepts & Extras,Abstract Concepts,Honesty,The quality of being truthful and sincere.
n-success,Concepts & Extras,Abstract Concepts,Success,The accomplishment of an aim or purpose.
n-jealousy,Concepts & Extras,Abstract Concepts,Jealousy,The state of being resentful of someone's advantages.
n-harmony,Concepts & Extras,Abstract Concepts,Harmony,The quality of forming a pleasing and consistent whole.
n-hope,Concepts & Extras,Abstract Concepts,Hope,A feeling of expectation and desire for a certain thing.
n-ambition,Concepts & Extras,Abstract Concepts,Ambition,A strong desire to do or achieve something.
n-humility,Concepts & Extras,Abstract Concepts,Humility,A modest or low view of one's own importance.
n-halloween,Concepts & Extras,Events & Holidays,Halloween,A holiday on October 31st involving costumes and candy.
n-super_bowl,Concepts & Extras,Events & Holidays,Super Bowl,The annual championship game of the NFL.
n-graduation,Concepts & Extras,Events & Holidays,Graduation,The receiving of an academic degree or diploma.
n-birthday_party,Concepts & Extras,Events & Holidays,Birthday Party,A celebration of the anniversary of someone's birth.
n-wedding,Concepts & Extras,Events & Holidays,Wedding,"A marriage ceremony, typically with a reception."
n-new_year’s_eve,Concepts & Extras,Events & Holidays,New Year’s Eve,"The last day of the year, often celebrated with parties."
n-summer_vacation,Concepts & Extras,Events & Holidays,Summer Vacation,A long break from school or work during the summer.
n-thanksgiving,Concepts & Extras,Events & Holidays,Thanksgiving,A North American holiday for expressing gratitude.
n-olympics,Concepts & Extras,Events & Holidays,Olympics,A major international sporting event held every four years.
n-moon_landing,Concepts & Extras,Events & Holidays,Moon Landing,The arrival of a spacecraft on the surface of the moon.
n-mardi_gras,Concepts & Extras,Events & Holidays,Mardi Gras,A carnival held on Shrove Tuesday with parades and masks.
n-carnival,Concepts & Extras,Events & Holidays,Carnival,A traveling amusement show or a festive public period.
n-music_festival,Concepts & Extras,Events & Holidays,Music Festival,A series of performances by various musicians over several days.
n-family_reunion,Concepts & Extras,Events & Holidays,Family Reunion,A gathering of extended family members.
n-road_trip,Concepts & Extras,Events & Holidays,Road Trip,A long journey made by car.
n-prom,Concepts & Extras,Events & Holidays,Prom,A formal dance held for high school students.
n-christmas,Concepts & Extras,Events & Holidays,Christmas,A holiday celebrating the birth of Jesus Christ.
n-st._patrick’s_day,Concepts & Extras,Events & Holidays,St. Patrick’s Day,A cultural and religious holiday celebrated on March 17th.
n-earth_day,Concepts & Extras,Events & Holidays,Earth Day,An annual event to support environmental protection.
n-duct_tape,Concepts & Extras,"The ""Random"" Pile",Duct Tape,"Strong, cloth-backed, waterproof adhesive tape."
n-a_rusty_nail,Concepts & Extras,"The ""Random"" Pile",A Rusty Nail,A piece of metal used for fastening that has oxidized.
n-bubble_wrap,Concepts & Extras,"The ""Random"" Pile",Bubble Wrap,Plastic packaging material consisting of small air-filled bubbles.
n-freshly_cut_grass,Concepts & Extras,"The ""Random"" Pile",Freshly Cut Grass,The scent or sight of a recently mowed lawn.
n-a_secret_message,Concepts & Extras,"The ""Random"" Pile",A Secret Message,Information intended to be understood only by few.
n-static_electricity,Concepts & Extras,"The ""Random"" Pile",Static Electricity,A stationary electric charge built up on an object.
n-a_magic_trick,Concepts & Extras,"The ""Random"" Pile",A Magic Trick,An entertainment act that seems impossible.
n-fog,Concepts & Extras,"The ""Random"" Pile",Fog,A thick cloud of tiny water droplets suspended near Earth.
n-morning_dew,Concepts & Extras,"The ""Random"" Pile",Morning Dew,Tiny drops of water that form on cool surfaces overnight.
n-a_lost_sock,Concepts & Extras,"The ""Random"" Pile",A Lost Sock,A single piece of footwear missing its pair.
n-junk_mail,Concepts & Extras,"The ""Random"" Pile",Junk Mail,Unsolicited advertising sent through the post.
n-sandpaper,Concepts & Extras,"The ""Random"" Pile",Sandpaper,Paper with an abrasive surface used for smoothing wood.
n-a_new_car_smell,Concepts & Extras,"The ""Random"" Pile",A New Car Smell,The unique scent of a brand-new vehicle.
n-broken_glass,Concepts & Extras,"The ""Random"" Pile",Broken Glass,Sharp fragments from a shattered transparent material.
n-glitter,Concepts & Extras,"The ""Random"" Pile",Glitter,"Tiny, shimmering pieces of material used for decoration."
n-a_fortune_cookie,Concepts & Extras,"The ""Random"" Pile",A Fortune Cookie,A crisp cookie containing a paper with a prediction.
n-quicksand,Concepts & Extras,"The ""Random"" Pile",Quicksand,Loose wet sand that yields easily to pressure.
n-a_hidden_trapdoor,Concepts & Extras,"The ""Random"" Pile",A Hidden Trapdoor,A secret door flush with the floor or ceiling.
n-mud,Concepts & Extras,"The ""Random"" Pile",Mud,"Soft, sticky matter resulting from mixing earth and water."
n-lint,Concepts & Extras,"The ""Random"" Pile",Lint,Tiny bits of fabric and fiber found on clothing.
